path,current_28d_sessions,previous_28d_sessions
/guide/traffic-accident/outpatient-treatment-count-settlement-impact,207,112
/guide/unemployment/unemployment-military-discharge-eligibility,191,184
/guide/unemployment/unemployment-dual-job-one-lost,173,79
/guide/unemployment/unemployment-burnout-mental-health-quit,138,121
/guide/unemployment/unemployment-internship-training-end,138,141
/guide/real-estate-sale/sale-contract-essential-clauses,128,90
/guide/wage/delayed-salary-labor-office-report,127,162
/guide/unemployment/unemployment-reapply-after-expiry,110,104
/guide/unemployment/unemployment-60-retirement-benefit,109,158
/guide/unemployment/unemployment-family-business-eligibility,87,74
/guide/unemployment/unemployment-family-care-quit,75,86
/guide/unemployment/unemployment-disciplinary-fired-benefit,72,55
/guide/unemployment/unemployment-weekly-52-hour-violation-quit,71,44
/guide/traffic-accident/traffic-accident-door-opening-fault,69,87
/guide/unemployment/unemployment-disability-worker-special-eligibility,65,83
/guide/unemployment/unemployment-probation-fired,59,49
/guide/traffic-accident/traffic-accident-passenger-injury-claim,58,33
/guide/retirement/retirement-rehire-continuous-service-calculation,56,47
/guide/retirement/retirement-night-overtime-included-calculation,54,70
/guide/unemployment/unemployment-spouse-relocation-just-cause,53,46
/guide/wage/wage-night-work-50-percent-extra,52,62
/guide/unemployment/unemployment-180days-insurance-period-calc,51,74
/guide/retirement/retirement-small-business-5,49,46
/guide/wage/wage-freelancer-worker-status-claim,48,37
/guide/dismissal/dismissal-tardiness-repeated-discipline,46,39
/guide/retirement/retirement-incentive-bonus-average-wage-inclusion,45,59
/guide/assault/assault-first-offense-penalty,44,37
/guide/traffic-accident/traffic-accident-rear-end-fault-ratio,44,36
/guide/neighbor-dispute/boundary-wall-dispute,43,52
/guide/traffic-accident/traffic-accident-parking-lot-door-ding,43,36
/guide/unemployment/unemployment-waiting-7days,42,33
/guide/traffic-accident/traffic-accident-bus-sudden-stop-passenger-claim,40,39
/guide/unemployment/investment-income-benefit-impact,40,45
/guide/retirement/retirement-less-than-1year-eligibility,39,47
/guide/retirement/retirement-partial-payment-agreement-void-5reasons,39,26
/guide/unemployment/unemployment-sexual-harassment-quit-benefit,39,46
/guide/wage/wage-business-trip-travel-time,39,42
/guide/bankruptcy/bankruptcy-credit-recovery-timeline,38,29
/guide/dismissal/dismissal-small-business-under5-options,36,51
/guide/unemployment/unemployment-pregnancy-resignation-eligibility,36,34
/guide/dismissal/dismissal-during-sick-leave,35,33
/guide/unemployment/unemployment-wage-cut-voluntary-quit,35,31
/guide/wage/fair-allowance-2027-eligibility-guide,35,24
/guide/industrial-accident2/employer-report-obligation-process,34,36
/guide/retirement/retirement-dc-to-db-conversion-settlement,34,28
/guide/unemployment/unemployment-commute-hardship-quit,34,65
/guide/unemployment/unemployment-side-income-during-benefit,34,34
/guide/traffic-accident/traffic-accident-seatbelt-nonuse-fault,33,20
/guide/unemployment/unemployment-pension-simultaneous,33,38
/guide/prostitution/buyer-vs-seller-penalty-comparison,32,32
/guide/traffic-accident/traffic-accident-pet-hit-civil-claim,32,29
/guide/wage/wage-meal-expense-ordinary-wage,32,35
/guide/wage/wage-pogual-annual-leave-included-invalid,32,23
/guide/jeonse/jeonse-monthly-renewal-cap,31,31
/guide/unemployment/unemployment-maternity-voluntary-quit,31,43
/guide/unemployment/unemployment-online-class-job-search,31,16
