source_page,source_domain,dead_destination,dead_destination_domain,recommended_replacement_slug,replacement_domain,recommendation_type,confidence_score,reason,apply_round
/guide/jeonse/landlord-unreachable-deposit,jeonse,/guide/jeonse/deposit-lawsuit-preparation,jeonse,deposit-lawsuit-docs,jeonse,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/unemployment/unemployment-voluntary-quit-benefits,unemployment,/guide/unemployment/unemployment-recognized-job-search-activity-guide,unemployment,unemployment-pregnancy-job-search-activity,unemployment,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/unemployment/voluntary-resignation-benefit-possible,unemployment,/guide/unemployment/application-required-documents-full-list,unemployment,application-required-documents-checklist,unemployment,replace,0.854,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/divorce/consensual-divorce-required-documents,divorce,/guide/divorce/divorce-property-division,divorce,divorce-elderly-property-division,divorce,replace,0.843,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/divorce/consensual-divorce-required-documents,divorce,/guide/divorce/child-custody-support,divorce,divorce-child-custody-father-strategy,divorce,replace_low,0.695,"sim 0.59, needs review",hold_low_confidence
/guide/child-support/child-support-claim-where-to-start,child-support,/guide/child-support/child-support-lawsuit-procedure,child-support,child-support-lawsuit-process,child-support,replace,0.865,"replace + sim≥0.85 + repl_exists + priority, conf=0.86",round1_replace_high_confidence
/guide/child-support/child-support-claim-where-to-start,child-support,/guide/child-support/child-support-lawsuit-procedure,child-support,child-support-lawsuit-process,child-support,replace,0.865,"replace + sim≥0.85 + repl_exists + priority, conf=0.86",round1_replace_high_confidence
/guide/child-support/child-support-claim-where-to-start,child-support,/guide/divorce/divorce-property-division-procedure,divorce,divorce-property-division-comprehensive,divorce,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/divorce/uncontested-divorce-document-checklist,divorce,/guide/divorce/divorce-alimony-guide,divorce,divorce-alimony-tax-treatment,divorce,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/child-support/child-support-enforcement-order-apply,child-support,/guide/child-support/child-support-lawsuit-procedure,child-support,child-support-lawsuit-process,child-support,replace,0.865,"replace + sim≥0.85 + repl_exists + priority, conf=0.86",round1_replace_high_confidence
/guide/divorce/divorce-pension-division-method,divorce,/guide/divorce/divorce-alimony-guide,divorce,divorce-alimony-tax-treatment,divorce,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/traffic-accident/no-dashcam-fault-dispute,traffic-accident,/guide/traffic-accident/insurance-claim-process-summary,traffic-accident,insurance-claim-required-docs,traffic-accident,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/traffic-accident/no-dashcam-fault-dispute,traffic-accident,/guide/traffic-accident/traffic-accident-compensation-guide,traffic-accident,traffic-accident-compensation-calculation-guide,traffic-accident,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/stalking/stalking-emergency-measure-application,stalking,/guide/stalking/stalking-evidence-collection-guide,stalking,stalking-evidence-collection-faq,stalking,replace,0.854,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
