source_domain,source_slug,dead_destination_domain,dead_destination_slug,link_label,source_gsc_impressions,source_gsc_clicks,recommended_replacement_slug,recommendation_type,similarity_note,notes,phase1_action
jeonse,landlord-unreachable-deposit,jeonse,deposit-lawsuit-preparation,보증금 반환 소송 전에 어떤 서류를 준비해야 하나요?,,,deposit-lawsuit-docs,replace,similarity=0.72,,replace
unemployment,unemployment-voluntary-quit-benefits,unemployment,unemployment-recognized-job-search-activity-guide,구직활동 인정 유형 가이드,,,unemployment-pregnancy-job-search-activity,replace,similarity=0.81,,replace
unemployment,voluntary-resignation-benefit-possible,unemployment,application-required-documents-full-list,실업급여 신청 필요 서류 전체 목록,,,application-required-documents-checklist,replace,similarity=0.88,,replace
divorce,consensual-divorce-required-documents,divorce,divorce-property-division,이혼 재산분할 절차,,,divorce-elderly-property-division,replace,similarity=0.86,,replace
divorce,consensual-divorce-required-documents,divorce,child-custody-support,양육비 산정 기준과 청구 방법,,,divorce-child-custody-father-strategy,replace_low,similarity=0.59,,replace
child-support,child-support-claim-where-to-start,child-support,child-support-lawsuit-procedure,양육비 청구 소송 절차,,,child-support-lawsuit-process,replace,similarity=0.90,,replace
child-support,child-support-claim-where-to-start,child-support,child-support-lawsuit-procedure,양육비 청구 소송 절차와 기간,,,child-support-lawsuit-process,replace,similarity=0.90,,replace
child-support,child-support-claim-where-to-start,divorce,divorce-property-division-procedure,이혼 재산분할 절차,,,divorce-property-division-comprehensive,replace,similarity=0.81,,replace
divorce,uncontested-divorce-document-checklist,divorce,divorce-alimony-guide,이혼 위자료 가이드,,,divorce-alimony-tax-treatment,replace_low,similarity=0.68,,replace
child-support,child-support-enforcement-order-apply,child-support,child-support-lawsuit-procedure,양육비 소송 절차 안내,,,child-support-lawsuit-process,replace,similarity=0.90,,replace
divorce,divorce-pension-division-method,divorce,divorce-alimony-guide,이혼 위자료 가이드,,,divorce-alimony-tax-treatment,replace_low,similarity=0.68,,replace
traffic-accident,no-dashcam-fault-dispute,traffic-accident,insurance-claim-process-summary,보험금 청구 절차 요약,,,insurance-claim-required-docs,replace_low,similarity=0.67,,replace
traffic-accident,no-dashcam-fault-dispute,traffic-accident,traffic-accident-compensation-guide,교통사고 보상 가이드,,,traffic-accident-compensation-calculation-guide,replace,similarity=0.85,,replace
stalking,stalking-emergency-measure-application,stalking,stalking-evidence-collection-guide,스토킹 증거 수집 방법,,,stalking-evidence-collection-faq,replace,similarity=0.88,,replace
stalking,stalking-emergency-measure-application,stalking,stalking-protection-order-request,스토킹 보호명령 신청,,,stalking-emergency-protection-order-apply,replace,similarity=0.70,,replace
stalking,ex-persistent-contact-legal-action,stalking,stalking-evidence-collection-guide,스토킹 증거 수집 방법,,,stalking-evidence-collection-faq,replace,similarity=0.88,,replace
unemployment,benefit-application-rejection-5-reasons,dismissal,dismissal-unfair-relief,부당해고 구제 신청 절차,,,dismissal-office-romance-fired-relief,replace,similarity=0.70,,replace
unemployment,voluntary-quit-approved-case-types,dismissal,dismissal-fired-first-24hours,해고 첫 24시간 대응,,,fired-notice-first-24-hours,replace_low,similarity=0.68,,replace
unemployment,first-application-employment-center-checklist,dismissal,dismissal-recommended-resignation-check,권고사직 시 확인사항,,,dismissal-recommended-resign-trap,replace,similarity=0.81,,replace
wage,wage-complaint-kakao-bank-evidence-enough,dismissal,dismissal-fired-first-24hours,해고 후 첫 24시간 대응,,,fired-notice-first-24-hours,replace_low,similarity=0.68,,replace
wage,partial-salary-payment-response-steps,dismissal,dismissal-unfair-relief,부당해고 구제 신청,,,dismissal-office-romance-fired-relief,replace,similarity=0.70,,replace
wage,wage-minimum-weekly-holiday-included,retirement,retirement-pay-claim-procedure,퇴직금 청구 방법,,,retirement-pay-claim-where-to-start,replace,similarity=0.74,,replace
wage,wage-minimum-weekly-holiday-included,dismissal,dismissal-unfair-relief,부당해고 구제 신청,,,dismissal-office-romance-fired-relief,replace,similarity=0.70,,replace
wage,wage-freelancer-worker-status-claim,retirement,retirement-pay-claim-procedure,퇴직금 청구 방법,,,retirement-pay-claim-where-to-start,replace,similarity=0.74,,replace
wage,wage-freelancer-worker-status-claim,dismissal,dismissal-unfair-relief,부당해고 구제 신청,,,dismissal-office-romance-fired-relief,replace,similarity=0.70,,replace
wage,wage-employment-rule-change-unfavorable,retirement,retirement-pay-claim-procedure,퇴직금 청구 방법,,,retirement-pay-claim-where-to-start,replace,similarity=0.74,,replace
wage,wage-employment-rule-change-unfavorable,dismissal,dismissal-unfair-relief,부당해고 구제 신청,,,dismissal-office-romance-fired-relief,replace,similarity=0.70,,replace
wage,wage-bankrupt-employer-how-to-claim,retirement,retirement-pay-claim-procedure,퇴직금 청구 방법,,,retirement-pay-claim-where-to-start,replace,similarity=0.74,,replace
wage,wage-bankrupt-employer-how-to-claim,dismissal,dismissal-unfair-relief,부당해고 구제 신청,,,dismissal-office-romance-fired-relief,replace,similarity=0.70,,replace
wage,wage-pogualkeum-overtime-void-claim,retirement,retirement-pay-claim-procedure,퇴직금 청구 방법,,,retirement-pay-claim-where-to-start,replace,similarity=0.74,,replace
wage,wage-pogualkeum-overtime-void-claim,dismissal,dismissal-unfair-relief,부당해고 구제 신청,,,dismissal-office-romance-fired-relief,replace,similarity=0.70,,replace
traffic-accident,traffic-accident-offender-criminal-charge-response,traffic-accident,traffic-accident-settlement-fair-amount,교통사고 합의금 기준 총정리,,,traffic-accident-settlement-mistakes,replace,similarity=0.77,,replace
traffic-accident,traffic-accident-offender-criminal-charge-response,dui,dui-accident-criminal-response,음주운전 사고 형사처벌 대응,,,dui-traffic-accident-response,replace,similarity=0.71,,replace
traffic-accident,traffic-accident-offender-criminal-charge-response,insurance,insurance-traffic-accident-claim,교통사고 자동차보험 청구 방법,,,,hub_or_delete,no candidate domain,,delete
