pair_id,url_path,domain,assignment,current_naver_sessions,previous_naver_sessions,pretrend_log_ratio,publication_date_source,publication_date,eligibility_notes,random_seed,contamination_flag,donor_pages,treatment_not_delivered,keyword,title
P01,/guide/traffic-accident/outpatient-treatment-count-settlement-impact,traffic-accident,TREATMENT,207,112,0.6102,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-08,match_cost=0.919; body_chars=1864; editorial_inbound=1; type=기준형,LG_GROWTH_3B_20260916,0,,,교통사고 통원치료 횟수 합의금 영향,교통사고 통원치료 횟수와 합의금 관계 4가지 기준 | 로앤가이드
P01,/guide/unemployment/unemployment-dual-job-one-lost,unemployment,CONTROL,173,79,0.7770,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-11,match_cost=0.919; body_chars=1482; editorial_inbound=1; type=비교분석형,LG_GROWTH_3B_20260916,0,,,투잡 한 곳 실직 실업급여,투잡 한 곳 실직 시 실업급여 받는 2가지 조건 | 로앤가이드
P02,/guide/real-estate-sale/sale-contract-essential-clauses,real-estate-sale,TREATMENT,128,90,0.3490,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-03-28,match_cost=1.473; body_chars=2505; editorial_inbound=6; type=체크리스트형,LG_GROWTH_3B_20260916,0,,,부동산 매매 계약서 필수 특약 사항,부동산 매매 계약서 필수 특약 7가지 | 로앤가이드
P02,/guide/unemployment/unemployment-military-discharge-eligibility,unemployment,CONTROL,191,184,0.0371,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-15,match_cost=1.473; body_chars=1706; editorial_inbound=2; type=자격확인형,LG_GROWTH_3B_20260916,0,,,전역 군인 실업급여 수급 자격,전역 후 실업급여 받을 수 있나요? 군 복무·자격 정리 | 로앤가이드
P03,/guide/unemployment/unemployment-internship-training-end,unemployment,TREATMENT,138,141,-0.0214,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-14,match_cost=0.213; body_chars=1807; editorial_inbound=1; type=체크리스트형,LG_GROWTH_3B_20260916,0,,,인턴 종료 실업급여 수급,인턴 수습 종료 후 실업급여 받는 조건 4가지 | 로앤가이드
P03,/guide/unemployment/unemployment-burnout-mental-health-quit,unemployment,CONTROL,138,121,0.1305,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-14,match_cost=0.213; body_chars=1838; editorial_inbound=0; type=체크리스트형,LG_GROWTH_3B_20260916,0,,,번아웃 우울증 퇴사 실업급여,번아웃 우울증 퇴사 실업급여 조건 4가지 | 로앤가이드
P04,/guide/unemployment/unemployment-60-retirement-benefit,unemployment,TREATMENT,109,158,-0.3684,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-11,match_cost=0.668; body_chars=1815; editorial_inbound=1; type=자격확인형,LG_GROWTH_3B_20260916,0,,,60세 정년퇴직 실업급여 수급,60세 정년퇴직 실업급여 최대 270일 받는 3가지 조건 | 로앤가이드
P04,/guide/wage/delayed-salary-labor-office-report,wage,CONTROL,127,162,-0.2417,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-08,match_cost=0.668; body_chars=2003; editorial_inbound=11; type=Q&A형,LG_GROWTH_3B_20260916,0,,,월급 밀림 노동청 신고 절차 방법,월급 밀렸을 때 노동청 즉시 신고 가능한 경우 3가지 | 로앤가이드
P05,/guide/unemployment/unemployment-reapply-after-expiry,unemployment,TREATMENT,110,104,0.0556,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-12,match_cost=0.567; body_chars=1279; editorial_inbound=0; type=자격확인형,LG_GROWTH_3B_20260916,0,,,실업급여 종료 후 재신청,실업급여 종료 후 재취업·재신청 가능 조건 정리 | 로앤가이드
P05,/guide/unemployment/unemployment-family-business-eligibility,unemployment,CONTROL,87,74,0.1598,"sitemap-lastmod-generated.ts (스포크 소스파일 최초 커밋일 = 발행일, repo 규약)",2026-04-18,match_cost=0.567; body_chars=1803; editorial_inbound=1; type=상황형,LG_GROWTH_3B_20260916,0,,,가족 회사 근무 실업급여 자격,가족 회사 근무 후 실업급여 — 자격 요건 총정리 | 로앤가이드
