pair_id,url_path,search_intent_unchanged,h1_component,h1_new,decision_table,table_page_specific,official_links_count,official_links_verified,legal_numbers_verified,factual_correction_applied,meta_title_unchanged,url_canonical_unchanged,cta_unchanged,contextual_inbound_links_added,donor_pages,control_edited,naver_recovery_contamination,treatment_not_delivered,notes
P01,/guide/traffic-accident/outpatient-treatment-count-settlement-impact,yes,delivered,"교통사고 통원치료, 몇 번 받아야 합의에 불리하지 않나요?",yes,yes,3,yes,n/a,no,yes,yes,yes,3,"traffic-accident-compensation-calculation-guide; traffic-accident-injury-compensation; traffic-accident-where-to-start",no,no,0,"기존 본문에 연도 고정 수치 없음 → 사실 정정 대상 없음. 판단표는 이 페이지 고유(통원 상태별)"
P02,/guide/real-estate-sale/sale-contract-essential-clauses,yes,delivered,부동산 매매계약서에 어떤 특약을 넣어야 하나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"special-agreement-breach-response; real-estate-fraud-prevention; real-estate-contract-cancellation-penalty",no,no,0,"민법 조문 인용은 기존 본문 유지(검증 범위 밖 수치 없음)"
P03,/guide/unemployment/unemployment-internship-training-end,yes,delivered,인턴·수습이 끝나고 정규직 전환이 안 됐는데 실업급여 되나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"unemployment-contract-end-no-renewal; unemployment-part-time-dual-job-combined-benefit; contract-expiry-unemployment-benefit",no,no,0,"계약 형태별 판단표. 고용보험료율 등 수치는 기존 문장 유지(검증 미완)"
P04,/guide/unemployment/unemployment-60-retirement-benefit,yes,delivered,60세 정년퇴직해도 실업급여를 받을 수 있나요?,yes,yes,3,yes,partial,yes,yes,yes,yes,3,"unemployment-50plus-extended-period; recommended-resignation-unemployment-benefit; unemployment-unpaid-salary-quit",no,no,0,"소정급여일수 표는 고용보험 공식 안내(ei.go.kr)에서 확인한 값. 상한액은 '공식 안내 기준 66,000원 + 연도별 확인' 으로 완화하고 모의계산 링크 추가. 2026년 상·하한액은 권위 출처 미확인이라 단정하지 않음. '12개월 내 미신청 시 수급자격 소멸' → '수급기간 12개월' 개념으로 정정"
P05,/guide/unemployment/unemployment-reapply-after-expiry,yes,delivered,실업급여 수급이 끝났는데 다시 받을 수 있나요?,yes,yes,3,yes,no,no,yes,yes,yes,3,"part-time-work-while-receiving-benefit; unemployment-voluntary-quit-benefits; unemployment-seasonal-short-repeat",no,no,0,"기존 본문의 '5년 3회 반복수급 50% 감액' 서술은 권위 출처로 확인하지 못해 수정하지 않고 그대로 둠(판단표에는 '적용 여부를 고용센터에서 확인' 으로만 표기)"
P06,/guide/unemployment/unemployment-weekly-52-hour-violation-quit,yes,delivered,주52시간 넘겨 일하다 퇴사하면 실업급여 받을 수 있나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"unemployment-contract-breach-quit; voluntary-quit-unemployment-eligibility; unemployment-pregnancy-high-risk-quit",no,no,0,"근로기준법 제53조·고용보험법 링크 추가. 기존 수치(주40+12) 유지"
P07,/guide/unemployment/unemployment-disability-worker-special-eligibility,yes,delivered,장애인 근로자는 실업급여를 더 오래 받을 수 있나요?,yes,yes,2,yes,yes,yes,yes,yes,yes,3,"contract-expiry-benefit-eligibility; unemployment-special-extended-benefit; unemployment-50plus-extended-period",no,no,0,"'일반 대비 30~60일 더 김' → 공식 소정급여일수 표 기준(1년 미만 동일, 1년 이상 +30일)으로 정정. 표도 같은 출처 값"
P08,/guide/unemployment/unemployment-180days-insurance-period-calc,yes,delivered,"실업급여 180일, 어떻게 계산하나요?",yes,yes,3,yes,n/a,no,yes,yes,yes,3,"unemployment-daily-worker-qualification; pre-application-checklist; unemployment-daily-worker-repeat-eligibility-track",no,no,0,"유급일 포함/제외 판단표. 고용보험법 제40조 링크"
P09,/guide/unemployment/unemployment-probation-fired,yes,delivered,수습기간에 해고되면 실업급여를 받을 수 있나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"unemployment-employer-forced-resignation; unemployment-overseas-job-return-benefit; pre-application-checklist",no,no,0,"실업급여/부당해고 두 축을 나눈 판단표"
P10,/guide/wage/wage-freelancer-worker-status-claim,yes,delivered,프리랜서로 계약했는데 임금체불 신고를 할 수 있나요?,yes,yes,3,yes,n/a,no,yes,yes,yes,3,"wage-freelance-exclusive-contract-worker-status-recognition-track; wage-employer-criminal-penalty; retirement-freelancer-eligibility",no,no,0,"근로자성 요소별 대조표. 근로기준법 제2조 링크 추가(기존 본문에 법조문 0개였음)"
